                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.77616,                0.49668,                 1.0178,                0.93323,                0.91754,                0.96576,                0.78903,                0.75211,                0.41853,                0.97754,               0.002377,               0.002377,               0.002377
                     79,                0.77216,                0.49098,                 1.0141,                0.93067,                0.91898,                0.96643,                0.78873,                0.75193,                0.41711,                0.97658,               0.002278,               0.002278,               0.002278
                     80,                0.76197,                0.48849,                  1.009,                0.93016,                 0.9201,                0.96694,                0.78946,                0.74896,                 0.4158,                0.97452,               0.002179,               0.002179,               0.002179
                     81,                0.76362,                0.48979,                 1.0101,                0.93108,                 0.9188,                0.96733,                0.79034,                0.74843,                0.41411,                0.97302,                0.00208,                0.00208,                0.00208
                     82,                0.75966,                0.48262,                 1.0042,                0.92417,                0.92778,                0.96727,                0.78992,                 0.7501,                0.41397,                0.97153,               0.001981,               0.001981,               0.001981
                     83,                0.76205,                0.48492,                 1.0087,                0.92772,                0.92709,                0.96655,                0.78989,                0.74808,                0.41113,                0.97068,               0.001882,               0.001882,               0.001882
                     84,                0.75633,                0.47877,                  1.003,                0.93339,                 0.9186,                0.96691,                0.79019,                0.74695,                0.41094,                 0.9697,               0.001783,               0.001783,               0.001783
                     85,                0.75175,                  0.476,                 1.0002,                0.92956,                0.92458,                 0.9675,                0.79137,                0.74525,                0.40952,                0.96767,               0.001684,               0.001684,               0.001684
                     86,                0.75033,                0.47479,                 1.0002,                0.93132,                0.92391,                0.96729,                0.79085,                 0.7447,                0.40991,                0.96669,               0.001585,               0.001585,               0.001585
                     87,                0.75075,                0.46833,                 1.0018,                0.92999,                0.92378,                0.96767,                0.79119,                0.74492,                 0.4101,                0.96902,               0.001486,               0.001486,               0.001486
                     88,                0.74536,                0.46815,                 1.0012,                 0.9314,                0.92345,                0.96698,                0.79168,                0.74499,                0.41047,                0.97066,               0.001387,               0.001387,               0.001387
                     89,                0.74605,                0.46716,                 1.0015,                0.93226,                0.92044,                0.96759,                0.79352,                0.74381,                0.41027,                0.97035,               0.001288,               0.001288,               0.001288
                     90,                 0.7384,                0.46646,                0.99823,                0.92468,                0.92877,                0.96756,                0.79325,                0.74394,                0.41014,                0.97193,               0.001189,               0.001189,               0.001189
                     91,                0.67511,                0.38738,                0.96096,                 0.9246,                0.92719,                0.96787,                0.79325,                0.74521,                0.40858,                0.97343,                0.00109,                0.00109,                0.00109
                     92,                0.66534,                 0.3798,                0.95719,                 0.9305,                0.92153,                0.96704,                0.79247,                0.74506,                 0.4078,                0.97227,               0.000991,               0.000991,               0.000991
                     93,                0.65569,                0.37032,                0.94849,                0.93386,                0.91891,                0.96648,                  0.792,                0.74529,                0.40772,                0.97129,               0.000892,               0.000892,               0.000892
                     94,                0.65998,                  0.374,                0.95054,                0.93502,                0.91857,                0.96637,                0.79238,                0.74469,                0.40662,                0.97074,               0.000793,               0.000793,               0.000793
                     95,                0.65159,                0.36693,                0.94603,                0.93472,                0.92044,                0.96665,                0.79365,                0.74539,                0.40672,                0.97005,               0.000694,               0.000694,               0.000694
                     96,                0.64603,                0.36537,                0.94475,                0.93238,                 0.9248,                0.96688,                0.79408,                0.74481,                0.40679,                0.97007,               0.000595,               0.000595,               0.000595
                     97,                0.64215,                 0.3602,                0.94383,                0.93157,                0.92498,                0.96724,                0.79351,                0.74404,                0.40661,                 0.9708,               0.000496,               0.000496,               0.000496
                     98,                0.63908,                0.35821,                  0.946,                0.92942,                0.92597,                0.96676,                 0.7937,                0.74376,                0.40652,                 0.9714,               0.000397,               0.000397,               0.000397
                     99,                0.63453,                0.35521,                0.94173,                0.93025,                0.92623,                0.96676,                0.79363,                 0.7434,                0.40646,                0.97203,               0.000298,               0.000298,               0.000298
                    100,                0.63229,                0.35476,                0.94414,                0.93141,                0.92566,                0.96663,                0.79374,                 0.7429,                0.40643,                0.97232,               0.000199,               0.000199,               0.000199
